id_ies,nome_ies,organizacao_academica,sistema_de_ensino,categoria_administrativa,situacao_da_ies,UF_PROCESSO,UF_CADASTRO,municipio_processo,municipio_cadastro,uf,PUBLICA_PRIVADA,AMBITO_ADMINISTRATIVO
10178,FACULDADE DE MEDICINA E DE ENFERMAGEM NOVA ESPERANCA DE NATAL - FAMENE,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,RN,,Natal,,RN,PRIVADA,FEDERAL
10179,INSTITUTO DE ENSINO SUPERIOR JOAO ALFREDO DE ANDRADE - IJAA,INSTITUTO SUPERIOR OU ESCOLA SUPERIOR,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,MG,,Juatuba,,MG,PRIVADA,FEDERAL
1019,FACULDADE DE CIENCIAS E TECNOLOGIA DE UNAI - FACTU - FACTU,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,MG,MG,Unaí,Unaí,MG,PRIVADA,FEDERAL
10196,FACULDADE EUROPEIA DE ADMINISTRACAO E MARKETING - FEPAM,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,PE,,Jaboatão dos Guararapes,,PE,PRIVADA,FEDERAL
10200,FACULDADE DE TECNOLOGIA ANCHIETA - FTA,FACULDADE DE TECNOLOGIA,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,SP,,São Bernardo do Campo,,SP,PRIVADA,FEDERAL
10202,CENTRO UNIVERSITARIO DE ALTA FLORESTA - CEUFLOR,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,MT,,Alta Floresta,,MT,PRIVADA,FEDERAL
1021,FACULDADE DE CIENCIAS DE TIMBAUBA - FACET,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,PE,PE,Timbaúba,Timbaúba,PE,PRIVADA,FEDERAL
10229,INSTITUTO DE ENSINO SUPERIOR JOAO ALFREDO DE ANDRADE - IJAA,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,MG,,Juatuba,,MG,PRIVADA,FEDERAL
10234,FACULDADE ADOLFO CAMINHA - FAC,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,CE,,Fortaleza,,CE,PRIVADA,FEDERAL
10236,FACULDADE KURIOS - FAK,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,CE,,Maranguape,,CE,PRIVADA,FEDERAL
10238,"INSTITUTO DE TEOLOGIA, PASTORAL E ENSINO SUPERIOR DA AMAZONIA - ITEPES",FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,AM,,Manaus,,AM,PRIVADA,FEDERAL
10248,FACULDADE DE TECNOLOGIA ALVARES DE AZEVEDO - FAATESP,FACULDADE DE TECNOLOGIA,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,SP,,São Paulo,,SP,PRIVADA,FEDERAL
10251,FACULDADE METODISTA CONEXIONAL - FACO,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,MT,MT,Guarantã do Norte,Guarantã do Norte,MT,PRIVADA,FEDERAL
10255,FACULDADE DE INHUMAS - FACMAIS,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,GO,,Inhumas,,GO,PRIVADA,FEDERAL
10256,FACULDADE DE INHUMAS - FACMAIS,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,GO,,Inhumas,,GO,PRIVADA,FEDERAL
10257,ASSOCIACAO ARTISTICA E CULTURAL ATUALIZA - ATUALIZA,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,BA,,Salvador,,BA,PRIVADA,FEDERAL
10263,FACULDADE DE TECNOLOGIA VALE DOS CARAJAS - FVC,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,PA,,Ourilândia do Norte,,PA,PRIVADA,FEDERAL
10264,FACULDADE DO DELTA DO PARNAIBA - FADEP,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,PI,,Parnaíba,,PI,PRIVADA,FEDERAL
